igo,attribute_code_final,n_evidence_records,n_unique_sources,n_tier_definition,n_tier_explanation,n_tier_substantiation,is_missing_cell
United Nations Office for Outer Space Affairs (UNOOSA),SoJ,11,2,1,1,9,False
United Nations Office for Outer Space Affairs (UNOOSA),VC,6,4,1,1,4,False
United Nations Office for Outer Space Affairs (UNOOSA),YE,4,2,1,1,2,False
United Nations Office for Project Services (UNOPS),DO,4,1,1,1,2,False
United Nations Office for Project Services (UNOPS),HC,15,13,1,1,13,False
United Nations Office for Project Services (UNOPS),IIR,3,1,1,1,1,False
United Nations Office for Project Services (UNOPS),SCL,4,2,1,1,2,False
United Nations Office for Project Services (UNOPS),SJ,3,1,1,1,1,False
United Nations Office for Project Services (UNOPS),SMJ,3,1,1,1,1,False
United Nations Office for Project Services (UNOPS),STR,10,1,1,1,8,False
United Nations Office for Project Services (UNOPS),SoJ,12,2,1,1,10,False
United Nations Office for Project Services (UNOPS),VC,6,4,1,1,4,False
United Nations Office for Project Services (UNOPS),YE,4,2,1,1,2,False
United Nations Office on Drugs and Crime (UNODC),DO,4,2,1,1,2,False
United Nations Office on Drugs and Crime (UNODC),HC,17,13,1,1,15,False
United Nations Office on Drugs and Crime (UNODC),IIR,5,1,1,1,3,False
United Nations Office on Drugs and Crime (UNODC),SCL,4,2,1,1,2,False
United Nations Office on Drugs and Crime (UNODC),SJ,3,1,1,1,1,False
United Nations Office on Drugs and Crime (UNODC),SMJ,3,1,1,1,1,False
United Nations Office on Drugs and Crime (UNODC),STR,9,1,1,1,7,False
United Nations Office on Drugs and Crime (UNODC),SoJ,13,1,1,1,11,False
United Nations Office on Drugs and Crime (UNODC),VC,7,5,1,1,5,False
United Nations Office on Drugs and Crime (UNODC),YE,4,2,1,1,2,False
United Nations University (UNU),DO,4,2,1,1,2,False
United Nations University (UNU),HC,16,14,1,1,14,False
United Nations University (UNU),IIR,5,1,1,1,3,False
United Nations University (UNU),SCL,4,2,1,1,2,False
United Nations University (UNU),SJ,3,1,1,1,1,False
United Nations University (UNU),SMJ,3,1,1,1,1,False
United Nations University (UNU),STR,9,2,1,1,7,False
United Nations University (UNU),SoJ,6,1,1,1,4,False
United Nations University (UNU),VC,3,1,1,1,1,False
United Nations University (UNU),YE,4,2,1,1,2,False
World Bank Group (WBG),DO,9,2,1,1,7,False
World Bank Group (WBG),HC,16,14,1,1,14,False
World Bank Group (WBG),IIR,10,1,1,1,8,False
World Bank Group (WBG),SCL,4,2,1,1,2,False
World Bank Group (WBG),SJ,3,1,1,1,1,False
World Bank Group (WBG),SMJ,3,1,1,1,1,False
World Bank Group (WBG),STR,9,1,1,1,7,False
World Bank Group (WBG),SoJ,13,2,1,1,11,False
World Bank Group (WBG),VC,13,11,1,1,11,False
World Bank Group (WBG),YE,4,2,1,1,2,False
World Food Programme (WFP),DO,4,2,1,1,2,False
World Food Programme (WFP),HC,15,13,1,1,13,False
World Food Programme (WFP),IIR,4,1,1,1,2,False
World Food Programme (WFP),SCL,4,2,1,1,2,False
World Food Programme (WFP),SJ,3,1,1,1,1,False
World Food Programme (WFP),SMJ,3,1,1,1,1,False
World Food Programme (WFP),STR,11,1,1,1,9,False
World Food Programme (WFP),SoJ,12,2,1,1,10,False
World Food Programme (WFP),VC,8,6,1,1,6,False
World Food Programme (WFP),YE,4,2,1,1,2,False
World Health Organization (WHO),DO,4,2,1,1,2,False
World Health Organization (WHO),HC,14,12,1,1,12,False
World Health Organization (WHO),IIR,8,1,1,1,6,False
World Health Organization (WHO),SCL,4,2,1,1,2,False
World Health Organization (WHO),SJ,3,1,1,1,1,False
World Health Organization (WHO),SMJ,3,1,1,1,1,False
World Health Organization (WHO),STR,8,2,1,1,6,False
World Health Organization (WHO),SoJ,8,2,1,1,6,False
World Health Organization (WHO),VC,8,6,1,1,6,False
World Health Organization (WHO),YE,4,2,1,1,2,False
World Intellectual Property Organisation (WIPO),DO,4,1,1,1,2,False
World Intellectual Property Organisation (WIPO),HC,16,14,1,1,14,False
World Intellectual Property Organisation (WIPO),IIR,8,1,1,1,6,False
World Intellectual Property Organisation (WIPO),SCL,4,2,1,1,2,False
World Intellectual Property Organisation (WIPO),SJ,3,1,1,1,1,False
World Intellectual Property Organisation (WIPO),SMJ,3,1,1,1,1,False
World Intellectual Property Organisation (WIPO),STR,9,2,1,1,7,False
World Intellectual Property Organisation (WIPO),SoJ,9,1,1,1,7,False
World Intellectual Property Organisation (WIPO),VC,5,3,1,1,3,False
World Intellectual Property Organisation (WIPO),YE,4,2,1,1,2,False
World Meteorological Organization (WMO),DO,5,1,1,1,3,False
World Meteorological Organization (WMO),HC,11,9,1,1,9,False
World Meteorological Organization (WMO),IIR,8,1,1,1,6,False
World Meteorological Organization (WMO),SCL,4,2,1,1,2,False
World Meteorological Organization (WMO),SJ,3,1,1,1,1,False
World Meteorological Organization (WMO),SMJ,3,1,1,1,1,False
World Meteorological Organization (WMO),STR,10,1,1,1,8,False
World Meteorological Organization (WMO),SoJ,5,1,1,1,3,False
World Meteorological Organization (WMO),VC,8,6,1,1,6,False
World Meteorological Organization (WMO),YE,4,2,1,1,2,False
World Tourism Organization/UN Tourism (UNWTO),DO,4,1,1,1,2,False
World Tourism Organization/UN Tourism (UNWTO),HC,15,13,1,1,13,False
World Tourism Organization/UN Tourism (UNWTO),IIR,9,1,1,1,7,False
World Tourism Organization/UN Tourism (UNWTO),SCL,4,2,1,1,2,False
World Tourism Organization/UN Tourism (UNWTO),SJ,3,1,1,1,1,False
World Tourism Organization/UN Tourism (UNWTO),SMJ,3,1,1,1,1,False
World Tourism Organization/UN Tourism (UNWTO),STR,11,2,1,1,9,False
World Tourism Organization/UN Tourism (UNWTO),SoJ,9,2,1,1,7,False
World Tourism Organization/UN Tourism (UNWTO),VC,6,4,1,1,4,False
World Tourism Organization/UN Tourism (UNWTO),YE,4,2,1,1,2,False
World Trade Organization (WTO),DO,4,1,1,1,2,False
World Trade Organization (WTO),HC,15,13,1,1,13,False
World Trade Organization (WTO),IIR,10,1,1,1,8,False
World Trade Organization (WTO),SCL,4,2,1,1,2,False
World Trade Organization (WTO),SJ,3,1,1,1,1,False
World Trade Organization (WTO),SMJ,3,1,1,1,1,False
World Trade Organization (WTO),STR,11,1,1,1,9,False
World Trade Organization (WTO),SoJ,9,1,1,1,7,False
World Trade Organization (WTO),VC,9,7,1,1,7,False
World Trade Organization (WTO),YE,4,2,1,1,2,False
